created_date,author,type,media,version,articleId,revenue>spend,Headline,Media link,campaign_name
2024-01-22,Artem,Original,GIF,v2,403889,True,"Boy Doesn’t Come Home for Dinner, ‘We Have Your Son!’ Phone Call Leaves Dad Shaken",GIF,403889 Original v2 Artem GIF
2024-01-22,Yuliia,Alt,GIF,v1,419007,True,"Man Chats with Mistress In Front of His Wife, and Later Karma Hits Him Back",GIF,419007 Alt v1 Yuliia GIF
2024-01-21,Andrii,Alt,GIF,v1,419074,True,"Rude Man Insults Woman at Airport, Unaware She’ll Teach Him the Most Brilliant Lesson Ever",GIF,419074 Alt v1 Andrii GIF
2024-01-21,Vasyl,Original,VID,v4,410006,True,"Unknown Woman Bursts into the Wedding Ceremony, Accusing Groom of Lying",video,410006 Original v4 Vasyl VID
2024-01-21,Dima,Alt,IMG,v4,419034,True,I Found Out My Wife’s Leading a Double Life after I Saw One Message,image,419034 Alt v4 Dima IMG
2024-01-21,Dima,Original,VID,v1,419291,False,I Found Strange Photos of My Dad in My Roommate’s Bedside Table,video,419291 Original v1 Dima VID
2024-01-21,Andrii,Alt,IMG,v3,419053,True,Woman Realizes Her Boyfriend Has Betrayed Her the Moment He Proposes to Her — Story of the Day,image,419053 Alt v3 Andrii IMG
2024-01-21,Yuliia,Original,IMG,v2,418032,True,Homeless Girl Won Rich Man’s Heart,image,418032 Original v2 Yuliia IMG
2024-01-21,Andrii,Original,GIF,v2,406545,True,Mom Ignores Pimple on Son’s Back until It Sharply Enlarges and Starts Moving – Story of the Day,GIF,406545 Original v2 Andrii GIF
2024-01-21,Andrii,Original,IMG,v1,418212,True,Cleaning Lady Exposes Husband's Affair With Glamorous Mistress,image,418212 Original v1 Andrii IMG
2024-01-21,Dima,Alt,GIF,v4,419069,False,I Learned Shocking Truth about My Daughter’s Death from My Girlfriend's Secret Phone Call,GIF,419069 Alt v4 Dima GIF
2024-01-20,Vasyl,Original,IMG,v4,419034,False,I Found Out My Wife’s Leading a Double Life after I Saw One Message,image,419034 Original v4 Vasyl IMG
2024-01-20,Vasyl,Original,GIF,v2,418390,True,"My Husband Controls My Diet, Once I Disobeys Him",GIF,418390 Original v2 Vasyl GIF
2024-01-20,Artem,Original,IMG,v1,419053,False,"Guardians Kick Out Girl on Her 18th Birthday, Beg Her on Knees to Return Next Day",image,419053 Original v1 Artem IMG
2024-01-20,Artem,Alt,IMG,v2,418634,True,I Saw What My Neighbor's Doing to His Wife in Their Backyard and Called 911 Immediately — Story of the Day,image,418634 Alt v2 Artem IMG
